Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings,,"2,500",Offline,,Variable,0.03%,0.03%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings,"2,500",,Offline,,Variable,0.03%,0.03%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Gold,,"2,500",Offline,,Variable,0.04%,0.04%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Gold,"2,500",,Offline,,Variable,0.04%,0.04%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Platinum,,"2,500",Offline,,Variable,0.05%,0.05%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Platinum,"2,500",,Offline,,Variable,0.05%,0.05%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Platinum Honors,,"2,500",Offline,,Variable,0.06%,0.06%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Platinum Honors,"2,500",,Offline,,Variable,0.06%,0.06%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Banking Rewards for Wealth Management,,"2,500",Offline,,Variable,0.06%,0.06%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Banking Rewards for Wealth Management,"2,500",,Offline,,Variable,0.06%,0.06%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,,"50,000",Offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,"50,000","99,999",Offline,,Variable,0.02%,0.02%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,"100,000",,Offline,,Variable,0.02%,0.02%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CDs,_MCDF,Fixed Term CD/IRA Products,,"10,000",Offline,06 - 11 Months,Fixed,0.03%,0.03%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CDs,_MCDF,Fixed Term CD/IRA Products,,"10,000",Offline,12 - 17 Months,Fixed,0.05%,0.05%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CDs,_MCDF,Fixed Term CD/IRA Products,,"10,000",Offline,18 - 23 Months,Fixed,0.07%,0.07%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CDs,_MCDF,Fixed Term CD/IRA Products,,"10,000",Offline,24 - 35 Months,Fixed,0.1%,0.1%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CDs,_MCDF,Fixed Term CD/IRA Products,,"10,000",Offline,36 - 47 Months,Fixed,0.55%,0.55%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CDs,_MCDF,Fixed Term CD/IRA Products,,"10,000",Offline,48 - 59 Months,Fixed,0.65%,0.65%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CDs,_MCDF,Fixed Term CD/IRA Products,,"10,000",Offline,60 - 119 Months,Fixed,0.75%,0.75%
03/12/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CDs,_MCDF,Fixed Term CD/IRA Products,,"10,000",Offline,120 Months,Fixed,0.75%,0.75%
